,city_x,state_x,population_x,county_x,latitude_x,longitude_x,city_y,state_y,county_y,latitude_y,longitude_y,population_y,sim
0,Adak,Alaska,190,Aleutians West,51.8815,-176.6295,Adak,Alaska,Aleutians West,55.999722,-161.207778,,True
459,Akiachak,Alaska,469,Bethel,60.921,-161.4021,Akiachak,Alaska,Bethel,60.891854,-161.39233,,True
460,Akiachak,Alaska,469,Bethel,60.921,-161.4021,Akiak,Alaska,Bethel,60.890632,-161.199325,,True
591,Akiachak,Alaska,469,Bethel,60.921,-161.4021,Napakiak,Alaska,Bethel,60.663758,-161.738144,,True
608,Akiachak,Alaska,469,Bethel,60.921,-161.4021,Nunapitchuk,Alaska,Bethel,60.896944,-162.459444,,True
688,Akiak,Alaska,293,Bethel,60.9061,-161.2122,Akiachak,Alaska,Bethel,60.891854,-161.39233,,True
689,Akiak,Alaska,293,Bethel,60.9061,-161.2122,Akiak,Alaska,Bethel,60.890632,-161.199325,,True
700,Akiak,Alaska,293,Bethel,60.9061,-161.2122,Aniak,Alaska,Bethel,61.691648,-157.758502,,True
793,Akiak,Alaska,293,Bethel,60.9061,-161.2122,Kipnuk,Alaska,Bethel,59.923204,-164.101013,,True
820,Akiak,Alaska,293,Bethel,60.9061,-161.2122,Napakiak,Alaska,Bethel,60.663758,-161.738144,,True
919,Akutan,Alaska,700,Aleutians East,54.1594,-165.7328,Akutan,Alaska,Aleutians East,54.143012,-165.785368,,True
932,Akutan,Alaska,700,Aleutians East,54.1594,-165.7328,Atka,Alaska,Aleutians West,52.199167,-174.213333,,True
1149,Alakanuk,Alaska,1065,Kusilvak,62.6902,-164.6305,Alakanuk,Alaska,Kusilvak,62.746967,-164.60228,,True
1380,Alatna,Alaska,41,Yukon-Koyukuk,66.5638,-152.8385,Allakaket,Alaska,Yukon Koyukuk,66.543197,-152.712155,,True
1446,Alatna,Alaska,41,Yukon-Koyukuk,66.5638,-152.8385,Galena,Alaska,Yukon Koyukuk,64.760784,-156.797701,,True
