,State,City,Population,Violent Crime,Murder,Rape (revised),Rape (legacy),Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,file,year,state
count,74036,74036,74020.0,73332.0,74032.0,65141.0,17814.0,74027.0,73984.0,73887.0,73954.0,73984.0,73720.0,62139.0,74036,74036.0,74036
unique,60,8480,,,,,,,,,,,,,8,,51
top,PENNSYLVANIA,Clinton,,,,,,,,,,,,,Table_6_Offenses_Known_to_Law_Enforcement_by_State_by_City_2016,,Pennsylvania
freq,6694,134,,,,,,,,,,,,,9579,,6694
mean,,,21866.493042420967,98.19989908907435,1.2360735897990058,9.117330099323008,17.850735376670034,32.950342442622286,128.963857050173,555.7409557838321,157.38198069069963,399.36668739186854,51.62196147585458,3.2875006034857335,,2015.4390161543033,
std,,,121422.71896662432,841.4210763508468,11.41836559434491,55.75693998282959,216.37324962447386,338.0609219963833,1255.535209805966,3077.8247599623064,1018.9567270376551,2195.9775840296147,391.76128607597343,24.07774938429193,,2.260987394016829,
min,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2012.0,
25%,,,2293.0,2.0,0.0,0.0,0.0,0.0,2.0,22.0,6.0,13.0,0.0,0.0,,2013.0,
50%,,,5914.0,10.0,0.0,1.0,1.0,1.0,8.0,81.0,21.0,58.0,3.0,0.0,,2015.0,
75%,,,16557.0,35.0,0.0,5.0,5.0,8.0,36.0,316.0,76.0,242.0,14.0,1.0,,2017.0,
max,,,8616333.0,52993.0,765.0,2814.0,13995.0,29771.0,124815.0,142760.0,107976.0,117931.0,18591.0,1672.0,,2019.0,
